Code,Name
COM/WHEAT_1,"Wheat, No. 1 soft white, del Portland, Ore"
COM/FEDFU,U.S. Federal Funds Effective Rate
COM/PCOFFOTM_USD,"Coffee, Other Mild Arabicas, International Coffee Organization New York cash price, ex-dock New York, US cents per pound"
COM/COTLOOK,Cotlook 'A' Index
COM/COFFEE_BRZL,"Coffee, Brazilian, Comp."
COM/AU_ZAR,"Gold Kruggerand, Spot Price"
COM/TALLOW_B,"Tallow, bleachable; Chicago / lb."
COM/PCOTTIND_USD,"Cotton, Cotton Outlook 'A Index', Middling 1-3/32 inch staple, CIF Liverpool, US cents per pound"
COM/CORN_MEAL,"Corn gluten meal, Midwest, ton"
COM/PLOGSK_USD,"Hard Logs, Best quality Malaysian meranti, import price Japan, US$ per cubic meter"
COM/WOOL,"Wool, 64s, staple, Terr. delivery lb."
COM/OIL_WTI,"West Texas Intermediate, Cushing"
COM/HOMINY,"Hominy feed, Cent. Ill. ton"
COM/LM_PK602_SPARERIB,USDA LM_PK602: Pork Sparerib
COM/HOGS,"Hogs, Iowa"
COM/PNRG_INDEX,"Fuel (Energy) Index, 2005 = 100, includes Crude oil (petroleum), Natural Gas, and Coal Price Indices"
COM/PINDU_INDEX,"Industrial Inputs Price Index, 2005 = 100, includes Agricultural Raw Materials and Metals Price Indices"
COM/PLAMB_USD,"Lamb, frozen carcass Smithfield London, US cents per pound"
COM/AG_GBP,Silver Price -  London Fixing (GBP)
COM/CDXNAHY,Markit CDX North America High Yield
COM/CDXNAIG,Markit CDX North America Investment Grade
COM/FUELOIL,"Fuel oil, No. 2 NY gal."
COM/FE_VALE,"Iron Ore, 62%, Vale"
COM/AG_FAB,Silver Fabric Price
COM/AU_EFP,Engelhard fabricated products: Gold
COM/FE_TJN,"Iron Ore 62% Fe CFR China,CME"
COM/CHEESE_BLK,"Cheddar cheese, blocks, Chicago lb."
COM/WHEAT_MN,"Wheat, Spring 14%"
COM/AG_USD,Silver Price - London Fixing (USD)
COM/DTGMP,DTCC GCF Repo Index - MBS Total Par Value
COM/DTGAA,DTCC GCF Repo Index - Agency Weighted Average
COM/MILK,"Milk, Nonfat dry, Chicago"
COM/AU_MPL,"Gold Maple Leaf, Spot Price"
COM/COAL_CAPP,"Central Appalachia 12,500 Btu, 1.2 SO2"
COM/LM_PK602_JOWL,USDA LM_PK602: Pork Jowl
COM/EGGS,"Eggs, large white, Chicago dozen"
COM/PRUSA,U.S. Prime Rate
COM/OATS,"Oats, No. 2 milling, Mnpls; $ per bu"
COM/WOOL_58,"Wool, 58s, staple, Terr. delivery lb."
COM/MCDX,Markit MCDX Index (Municipal CDS)
COM/DTGTP,DTCC GCF Repo Index - Treasury Par Value
COM/BUTANE,"Mont Belvieu Normal Butane (OPIS),CME"
COM/COTTON,"Cotton,ICE"
COM/RICE_2,"Rice, Long Grain Milled, No. 2 AR"
COM/PPOULT_USD,"Poultry (chicken), Whole bird spot price, Ready-to-cook, whole, iced, Georgia docks, US cents per pound"
COM/PWOOLF_USD,"Wool, fine, 19 micron, Australian Wool Exchange spot quote, US cents per kilogram"
COM/PTEA_USD,"Tea, Mombasa, Kenya, Auction Price, US cents per kilogram, From July 1998,Kenya auctions, Best Pekoe Fannings. Prior, London auctions, c.i.f. U.K. warehouses"
COM/POILWTI_USD,"Crude Oil (petroleum), West Texas Intermediate 40 API, Midland Texas, US$ per barrel"
COM/PCOCO_USD,"Cocoa beans, International Cocoa Organization cash price, CIF US and European ports, US$ per metric ton"
COM/POILAPSP_USD,"Crude Oil (petroleum), simple average of three spot prices; Dated Brent, West Texas Intermediate, and the Dubai Fateh"
COM/GAS_CR,"Gasoline:Gasoline, conventional, regular NY gal"
COM/PMETA_INDEX,"Metals Price Index, 2005 = 100, includes Copper, Aluminum, Iron Ore, Tin, Nickel, Zinc, Lead, and Uranium Price Indices"
COM/PWOOLC_USD,"Wool, coarse, 23 micron, Australian Wool Exchange spot quote, US cents per kilogram"
COM/PMAIZMT_USD,"Maize (corn), U.S. No.2 Yellow, FOB Gulf of Mexico, U.S. price, US$ per metric ton"
COM/PLOGORE_USD,"Soft Logs, Average Export price from the U.S. for Douglas Fir, US$ per cubic meter"
COM/PSUGAUSA_USD,"Sugar, U.S. import price, contract no.14 nearest futures position, US cents per pound (Footnote: No. 14 revised to No. 16)"
COM/TALLOW_E,"Tallow, edible, Chicago / lb."
COM/LM_PK602_TRIM,USDA LM_PK602: Pork Trim
COM/LM_PK602_VARIETY,USDA LM_PK602: Pork Variety
